{'regions': [4.78, 4.72], 'path-length': [24.46, 24.52], 'path-imp': [9.62, 9.68], 'path-change': [5.9, 3.78], 'iterations': [146.66, 146.66], 'changes': [43.98, 33.54], 'steps': [146.66, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [24.5, 26.28]}
{'regions': [5.34, 5.2], 'path-length': [26.5, 26.64], 'path-imp': [11.24, 11.38], 'path-change': [4.92, 6.46], 'iterations': [128.34, 128.34], 'changes': [35.04, 41.76], 'steps': [128.34, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.32, 29.16]}
{'regions': [4.34, 4.3], 'path-length': [27.16, 27.26], 'path-imp': [8.28, 8.38], 'path-change': [5.0, 3.38], 'iterations': [167.36, 167.36], 'changes': [30.02, 47.56], 'steps': [167.36, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [22.8, 22.28]}
{'regions': [4.9, 4.76], 'path-length': [27.46, 27.78], 'path-imp': [10.66, 10.98], 'path-change': [5.8, 5.18], 'iterations': [497.82, 497.82], 'changes': [24.94, 52.02], 'steps': [497.82, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [29.1, 20.78]}
{'regions': [4.56, 4.52], 'path-length': [27.94, 27.72], 'path-imp': [8.48, 8.26], 'path-change': [1.58, 6.68], 'iterations': [981.68, 981.68], 'changes': [11.42, 66.58], 'steps': [981.68, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [6.18, 27.88]}
{'regions': [5.34, 5.44], 'path-length': [28.62, 28.9], 'path-imp': [12.06, 12.34], 'path-change': [4.48, 7.86], 'iterations': [165.2, 165.2], 'changes': [18.14, 57.2], 'steps': [165.2, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [18.48, 20.16]}
{'regions': [5.62, 5.52], 'path-length': [29.54, 29.18], 'path-imp': [13.2, 12.84], 'path-change': [3.9, 8.94], 'iterations': [122.8, 122.8], 'changes': [21.2, 55.02], 'steps': [122.8, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [20.2, 19.64]}
{'regions': [6.24, 6.2], 'path-length': [27.26, 27.58], 'path-imp': [11.68, 12.0], 'path-change': [4.42, 7.58], 'iterations': [117.56, 117.56], 'changes': [21.5, 54.58], 'steps': [117.56, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.62, 18.48]}
{'regions': [5.16, 5.08], 'path-length': [28.4, 28.18], 'path-imp': [11.94, 11.72], 'path-change': [3.8, 7.92], 'iterations': [142.16, 142.16], 'changes': [20.44, 56.82], 'steps': [142.16, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [27.7, 25.62]}
{'regions': [4.06, 3.96], 'path-length': [27.34, 26.92], 'path-imp': [10.16, 9.74], 'path-change': [4.12, 5.62], 'iterations': [297.22, 297.22], 'changes': [17.66, 59.94], 'steps': [297.22, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.32, 32.22]}
{'regions': [4.52, 4.42], 'path-length': [25.78, 26.18], 'path-imp': [9.46, 9.86], 'path-change': [3.42, 6.44], 'iterations': [346.58, 346.58], 'changes': [19.94, 58.06], 'steps': [346.58, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [20.72, 28.34]}
