#{"t_start": 1588658080.3812137, "env_id": "binary-narrow-v0"}
r,l,t
3,125,1.736627
5,125,2.746645
-4,106,3.286913
-13,149,3.936731
34,155,4.934738
22,166,5.608316
11,107,6.158126
-15,93,6.733038
12,106,7.165295
-20,81,7.621187
-6,116,8.411817
-7,127,9.074153
-73,85,9.498569
2,97,9.876016
8,115,10.597575
-26,105,11.146051
-104,104,11.618022
-1,149,12.449877
-7,99,12.951931
-31,125,13.547486
-9,97,14.046711
-17,110,14.619945
-7,133,15.207779
25,119,15.876927
-3,150,16.530508
12,194,17.499708
47,135,18.279393
21,114,18.843291
9,186,19.707971
88,130,20.306898
43,103,20.835424
48,73,21.404171
63,114,22.000551
37,75,22.317519
5,202,23.397414
107,125,24.23158
-116,55,24.523144
89,98,25.209728
-2,254,26.305083
35,67,26.806806
0,443,28.68788
10,81,29.134583
100,132,29.762496
3,168,30.635328
-25,65,30.979887
93,97,31.690499
-78,81,32.317065
85,141,32.970997
0,351,34.628209
91,77,34.935607
-6,74,35.514833
-37,82,35.939195
32,144,36.575674
-1,174,37.472622
99,124,38.035346
64,96,38.567309
0,227,39.701452
49,126,40.155627
0,318,41.616275
5,239,42.75686
0,407,44.861119
14,360,46.601325
0,860,50.521117
104,203,51.479928
19,231,52.834244
83,110,53.419181
